Organization Name,Organization Name URL,Categories,Headquarters Location,Description,CB Rank (Company)
CargoPlanning,https://www.crunchbase.com/organization/cargoplanning,"Logistics, SaaS, Transportation","Iasi, Iasi, Romania",CargoPlanning is an Online collaborative platform for freight transportation,"278,929"
Zimplu CRM,https://www.crunchbase.com/organization/zimplu-crm,"Big Data, Cloud Computing, CRM, Customer Service, PaaS, SaaS, Software","Bucharest, Bucuresti, Romania","Zimplu CRM is a web-based application for contact management, sales management, and customer support activities.","289,311"
RenderStreet,https://www.crunchbase.com/organization/renderstreet,"Cloud Computing, Internet, PaaS, SaaS, Software","Bucharest, Bucuresti, Romania",RenderStreet a global provider of easy to use and affordable rendering services.,"296,300"
Atollon,https://www.crunchbase.com/organization/atollon,"CRM, Enterprise Software, Professional Services, Project Management, Recruiting, SaaS","Bucharest, Bucuresti, Romania",We help B2B organizations grow & provide memorable services using beautiful business applications. | CRM IDOL Judges Awareness Winner,"301,935"
Livagrio,https://www.crunchbase.com/organization/livagrio,"Agriculture, Farmers Market, Farming, SaaS","Bucharest, Bucuresti, Romania",Livestock Fram Management and Analytics,"303,460"
ADMA,https://www.crunchbase.com/organization/adma-2,"Education, Information Technology, SaaS","Bucharest, Bucuresti, Romania","We deliver innovative cloud technologies to improve education management, to amend recruitment, learning, and development process.","312,877"
SOFTWIN GROUP,https://www.crunchbase.com/organization/softwin,"Information Technology, SaaS, Software","Bucharest, Bucuresti, Romania",SOFTWIN GROUP is an Information Technology company.,"325,329"
Euro Data Center,https://www.crunchbase.com/organization/euro-data-center,"Cloud Infrastructure, Cloud Management, Cloud Security, Cyber Security, Data Center, Information Technology, Private Cloud, SaaS, Security, Virtual Desktop","Brasov, Brasov, Romania",Data Center | VPS | Colocation | Disaster Recovery | Cloud Storage | DaaS  ,"326,293"
Outreach.Buzz,https://www.crunchbase.com/organization/outreach-buzz,SaaS,"Bucharest, Bucuresti, Romania",Outreach.Buzz is a tool that helps people connect with bloggers,"327,294"
ImoDoc,https://www.crunchbase.com/organization/imodoc,"Real Estate, Residential, SaaS","Bucharest, Bucuresti, Romania",ImoDoc is a digital consultant that helps validate your home buying decision.,"334,598"
ProZi.ro,https://www.crunchbase.com/organization/prozi-ro,"Information Technology, Marketplace, SaaS","Bucharest, Bucuresti, Romania",A SaaS platform oriented to business who need a custom appointment module. We place ourself as a marketplace for reservations.,"341,116"
Mission Critical,https://www.crunchbase.com/organization/mission-critical,"Information Technology, SaaS, Software","Bucharest, Bucuresti, Romania","Automating processes within your enterprise, reducing costs, increasing productivity, while allowing employees to focus on what matters","348,162"
Dok,https://www.crunchbase.com/organization/docbook-7a0e,"Health Care, Internet, Marketplace, SaaS","Bucharest, Bucuresti, Romania",Dok,"349,495"
GreenPixel,https://www.crunchbase.com/organization/greenpixel,"Infrastructure, SaaS, Software","Bucharest, Bucuresti, Romania",GreenPixel is an interactive development agency specialized in large-scale projects and online infrastructure projects.,"361,543"
CustomSoft,https://www.crunchbase.com/organization/customsoft,"Business Intelligence, Consulting, Enterprise Software, Information Technology, SaaS, Software, Web Development","Bucharest, Bucuresti, Romania","CustomSoft is an e-commerce company that offers software development, support, and consultation services to their clients.","372,320"
Lokko,https://www.crunchbase.com/organization/lokko,"E-Commerce, Mobile, PaaS, SaaS, Software","Bucharest, Bucuresti, Romania","Lokko is a mobile application and network that connects clients with couriers, retailers, and restaurants.","380,492"
Add2Cart,https://www.crunchbase.com/organization/add2cart,"E-Commerce, Information Technology, SaaS","Timisoara, Timis, Romania",Frst SaaS Ecommerce Magento-Based In Eur,"393,651"
Aviziero,https://www.crunchbase.com/organization/aviziero,"Information Services, Information Technology, Property Management, Residential, SaaS","Targoviste, Dambovita, Romania",Aviziero is the online service that simplifies the work of block administrators.,"395,810"
RiseTech,https://www.crunchbase.com/organization/risetech,"Big Data, Information Services, Information Technology, Residential, SaaS","Cluj-napoca, Cluj, Romania",RiseTech is a company offering software consulting services to small and medium-sized companies in transition,"412,605"
Administrare Cazare Cantine - Cazare muncitori & Studenti Bucuresti,https://www.crunchbase.com/organization/administrare-cazare-cantine-cazare-muncitori-studenti-bucuresti,"Education, Enterprise Software, SaaS","Bucharest, Bucuresti, Romania",Administrare Cazare Cantine is a Romania-based company that provides accommodation and renting space services for workers and students.,"421,760"
Newtrien,https://www.crunchbase.com/organization/newtrien,"E-Commerce, Food and Beverage, Health Care, Internet, PaaS, SaaS","Bucharest, Bucuresti, Romania",Newtrien.com is an online platform that enables its users to create nutrition facts labels for their recipes.,"433,969"
Post66,https://www.crunchbase.com/organization/post66,"SaaS, Social Media, Social Media Management, Social Media Marketing, Software","Craiova, Dolj, Romania",Post66 is a cloud-based social media management platform that focuses on helping users post on all their social media platforms.,"436,175"
MediFlare,https://www.crunchbase.com/organization/mediflare,"Electronic Health Record (EHR), Health Care, PaaS, SaaS","Bucharest, Bucuresti, Romania",Medical records made simple,"445,987"
Conectoo,https://www.crunchbase.com/organization/conectoo,"Advertising, Information Technology, Marketing, Messaging, PaaS, SaaS, Software","Bucharest, Bucuresti, Romania",Conectoo is a software and marketing platform that enables users to operate email marketing campaigns.,"453,519"
Maillon,https://www.crunchbase.com/organization/maillon,"B2B, B2C, Finance, Marketplace, Retail, SaaS","Bucharest, Bucuresti, Romania",Maillon is a B2B2C platform that develops SaaS solutions for retailers and lenders.,"493,354"
Busybiz,https://www.crunchbase.com/organization/busybiz,"Enterprise Software, PaaS, SaaS, Social Media, Software","Bucharest, Bucuresti, Romania",The service platform for Romanian entrepreneurs,"510,990"
Hartmann Properties S.R.L.,https://www.crunchbase.com/organization/hartmann-properties-s-r-l,"Real Estate, SaaS","Bucharest, Bucuresti, Romania",Technology-driven real estate and property management,"523,176"
Open Developers,https://www.crunchbase.com/organization/open-developers,"E-Commerce, Hardware, PaaS, SaaS, Software, Web Design, Web Development","Bucharest, Bucuresti, Romania",Open Developers is an information technology company that provides IT-related services for its customers.,"594,575"
Egg Metrics,https://www.crunchbase.com/organization/egg-metrics,"Advertising, Consulting, PaaS, SaaS, Social Media","Bacau, Bacau, Romania",Toolkit to help you understand your website.,"617,361"
Barandi Solutions,https://www.crunchbase.com/organization/barandi-solutions,"SaaS, Software","Cluj, Cluj, Romania",Your Software As A Service Company,"629,739"
Enveloper,https://www.crunchbase.com/organization/enveloper,"Communications Infrastructure, Enterprise Software, PaaS, SaaS, Social Media, Software","Timisoara, Timis, Romania",Enveloper is a web-based software that provides email management services.,"677,433"
Serve Hotel,https://www.crunchbase.com/organization/serve-hotel,"Enterprise Software, Mobile, PaaS, SaaS, Software","Constanta, Constanta, Romania",Serve Hotel is a software application that enables its users to access all features of tourism establishments through any device.,"756,433"
